CustomerID,AccountStatus,Age,CustomerTier,Gender,FirstName,LastName,CustomerSinceDate,City,StateProvince,Country,CountryISOCode,Latitude,Longitude,Name
9487,Active,44,Gold,F,Philip,Barnett,39960,Abingdon,England,United Kingdom,GBR,51.6700706,-1.2850126,Telegraph and Tel
15360,Active,40,Gold,F,George,Marvel,39674,Albany,Oregon,United States,USA,44.6365107,-123.1059282,Pallister Management
12977,Active,55,Silver,F,Wade,Spears,40092,Alhambra,California,United States,USA,34.0837958,-118.1181199,Livezone Interactive
11369,Active,41,Platinum,F,Randy,Cinda,38263,Arlington,Texas,United States,USA,32.7272701,-97.0767365,KENROB and Associates
11967,Active,50,Gold,F,Harold,Caldwell,39196,Atlanta,Georgia,United States,USA,33.7717008,-84.3726049,Scientific Atlanta
15034,Active,53,PlatinumElite,F,Edward,Elna,38077,Auburn,California,United States,USA,38.8965654,-121.0768901,Ready-and-Run
7064,PastDue,53,Platinum,M,Bryan,Rhiannon,38788,Augsburg,Hamburg,Germany,DEU,48.3654574,10.8947684,BigJobs
7065,Active,44,PlatinumElite,M,Clayton,Whitaker,38416,Augsburg,Bayern,Germany,DEU,48.3656729,10.8942662,BigJobs
11775,Active,48,Silver,F,Anthony,Nena,39932,Augusta,Georgia,United States,USA,33.4406432,-81.9589366,Augusta National
3606,PastDue,58,Bronze,F,Jose,Vicenta,39871,Aurora,Ontario,Canada,CAN,44.0023399,-79.4438418,Wildcat Brewery
12066,PastDue,64,Platinum,F,Darren,Leesa,40870,Austell,Georgia,United States,USA,33.8126059,-84.6343783,Harvey
10660,Active,60,Gold,M,Warren,Sherrill,38080,Austin,Texas,United States,USA,30.2729209,-97.7443863,Harvey Co.
7630,Inactive,62,Bronze,M,Virginia,Kandi,38224,Bad Soden,Hessen,Germany,DEU,50.1443132,8.5010986,C & C  Design
12978,Inactive,53,Gold,F,Laura,Brianne,39613,Baldwin Park,California,United States,USA,34.0852868,-117.9608978,Southern Company
17482,Active,48,Bronze,F,Keith,Marcela,38084,Ballard,Washington,United States,USA,47.6683603,-122.3769582,Ad-vantage Solutions
17483,Active,58,Platinum,F,Barbara,Mercy,39106,Ballard,Washington,United States,USA,47.6683603,-122.3769582,Ad-vantage Solutions
17484,Active,44,Gold,F,Ralph,Kennedy,39279,Ballard,Washington,United States,USA,47.6683603,-122.3769582,Ad-vantage Solutions
17485,Active,64,Bronze,F,Jacob,Brigette,40583,Ballard,Washington,United States,USA,47.6683603,-122.3769582,Ad-vantage Solutions
17486,Active,53,Silver,F,Sharon,Price,38072,Ballard,Washington,United States,USA,47.6683603,-122.3769582,Ad-vantage Solutions
17487,Inactive,48,Gold,F,Frederick,Micaela,39816,Ballard,Washington,United States,USA,47.6683603,-122.3769582,Ad-vantage Solutions
17488,Active,60,Bronze,F,Andrea,Mcdaniel,40683,Ballard,Washington,United States,USA,47.6683603,-122.3769582,Ad-vantage Solutions
