EMPLOYEEID,EMPLOYEEACCESS,Name,ACCESS,EMAIL,EmployeeGender,EmployeeDept,EmployeeBusinessUnit,EmployeeJobTitle,EMPLOYEEREGION,EmployeeCountry,EmployeeState,EmployeeCity,EmployeeJobClass,EmployeeManager,EmployeeEmploymentType,BAND,PERFRATING,EmployeeEthnicity,DOB,HIREDATE,DPDate,EmployeeActiveFlag,RECRUIT,SALARY,TOTALCOMP,OMITGROUP
1,-,Sidney McRoberts,USER,Sidney.Roberts@bnna.com,Male,Management,C-level,Chief Executive Officer,AMERICAS,USA,NY,New York,Executive,Y,FTE,10,A,Black or African American,17058,30207,41895,Y,Recruiter,351663,56396,Management
2,-,Aidan Torres,USER,Aidan.Torres@bnna.com,Male,Management,C-level,Chief Financial Officer,AMERICAS,USA,NY,New York,Executive,Y,FTE,10,A,Asian,21420,36030,41874,Y,Internal,446014,414633,Management
3,-,Ivan Anuschek,USER,Ivan.schek@bnna.com,Male,Management,C-level,Chief Operating Officer,AMERICAS,USA,NY,New York,Executive,Y,FTE,10,A,White,21867,37573,41956,Y,Acquisition,259785,80790,Management
4,-,Alice Morin,USER,Alice. Morin@bnna.com,Female,Management,C-level,Chief Information Officer,AMERICAS,USA,NY,New York,Executive,Y,FTE,10,A,White,23185,35604,41813,Y,Recruiter,215408,66380,Management
5,-,Stan Gardiner,USER,Stan.diner@bnna.com,Male,Management,C-level,"SVP, Sales",AMERICAS,USA,NY,New York,Executive,Y,FTE,10,A,White,21971,32198,41695,Y,Internal,419500,70192,Management
6,-,Chiang Shanmugam,USER,Chiang.anmugam@bnna.com,Male,Management,C-level,"SVP, Marketing",AMERICAS,USA,NY,New York,Executive,Y,FTE,10,A,White,21117,35362,41936,Y,Internal,314802,99040,Management
7,-,Hoyt Cervantes,USER,Hoyt.antes@bnna.com,Male,Management,C-level,"SVP, Operations",AMERICAS,USA,NY,New York,Executive,Y,FTE,10,A,White,20324,35665,41874,Y,Recruiter,252022,93487,Management
8,-,Oprah Richard,USER,Oprah.ichard@bnna.com,Female,Management,C-level,"SVP, Talent and Culture",AMERICAS,USA,NY,New York,Executive,Y,FTE,10,A,Black or African American,23303,37548,41931,Y,Internal,202250,61998,Management
9,-,Akira Hashimoto,USER,Akira.himoto@bnna.com,Male,Management,C-level,"SVP, Operations",AMERICAS,USA,NY,New York,Executive,Y,FTE,10,A,Hispanic or Latino,21283,36624,41737,Y,Internal,219745,55222,Management
10,10,Samantha Pierce,USER,Samantha.ha Pierce@bnna.com,Female,Finance,Corporate Finance,"VP, FP&A",AMERICAS,USA,NY,New York,Senior Manager,Y,FTE,8,A,Asian,21816,35696,41905,Y,Linkedin,176029,46181,Finance
11,11,Brigitte Zumwald,USER,Brigitte.e Zumwald@bnna.com,Female,Finance,Corporate Finance,"Director, Financial Planning",AMERICAS,USA,NY,New York,Senior Manager,Y,FTE,7,B,Other,24921,33687,41722,Y,Internal,138669,46735,Finance
